db_id,query,query_toks,query_toks_no_value,question,question_toks,sql.except,sql.from.conds,sql.from.table_units,sql.groupBy,sql.having,sql.intersect,sql.limit,sql.orderBy,sql.select,sql.union,sql.where,sql.intersect.except,sql.intersect.from.conds,sql.intersect.from.table_units,sql.intersect.groupBy,sql.intersect.having,sql.intersect.intersect,sql.intersect.limit,sql.intersect.orderBy,sql.intersect.select,sql.intersect.union,sql.intersect.where,sql.union.except,sql.union.from.conds,sql.union.from.table_units,sql.union.groupBy,sql.union.having,sql.union.intersect,sql.union.limit,sql.union.orderBy,sql.union.select,sql.union.union,sql.union.where,sql.except.except,sql.except.from.conds,sql.except.from.table_units,sql.except.groupBy,sql.except.having,sql.except.intersect,sql.except.limit,sql.except.orderBy,sql.except.select,sql.except.union,sql.except.where
department_management,SELECT count(DISTINCT temporary_acting) FROM management,"['SELECT', 'count', '(', 'DISTINCT', 'temporary_acting', ')', 'FROM', 'management']","['select', 'count', '(', 'distinct', 'temporary_acting', ')', 'from', 'management']",How many acting statuses are there?,"['How', 'many', 'acting', 'statuses', 'are', 'there', '?']",,[],"[['table_unit', 2]]",[],[],,,[],"[False, [[3, [0, [0, 13, True], None]]]]",,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
department_management,SELECT count(*) FROM department WHERE department_id NOT IN (SELECT department_id FROM management);,"['SELECT', 'count', '(', '*', ')', 'FROM', 'department', 'WHERE', 'department_id', 'NOT', 'IN', '(', 'SELECT', 'department_id', 'FROM', 'management', ')', ';']","['select', 'count', '(', '*', ')', 'from', 'department', 'where', 'department_id', 'not', 'in', '(', 'select', 'department_id', 'from', 'management', ')']",How many departments are led by heads who are not mentioned?,"['How', 'many', 'departments', 'are', 'led', 'by', 'heads', 'who', 'are', 'not', 'mentioned', '?']",,[],"[['table_unit', 0]]",[],[],,,[],"[False, [[3, [0, [0, 0, False], None]]]]",,"[[True, 8, [0, [0, 1, False], None], {'except': None, 'from': {'conds': [], 'table_units': [['table_unit', 2]]}, 'groupBy': [], 'having': [], 'intersect': None, 'limit': None, 'orderBy': [], 'select': [False, [[0, [0, [0, 11, False], None]]]], 'union': None, 'where': []}, None]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
department_management,SELECT DISTINCT T1.age FROM management AS T2 JOIN head AS T1 ON T1.head_id  =  T2.head_id WHERE T2.temporary_acting  =  'Yes',"['SELECT', 'DISTINCT', 'T1.age', 'FROM', 'management', 'AS', 'T2', 'JOIN', 'head', 'AS', 'T1', 'ON', 'T1.head_id', '=', 'T2.head_id', 'WHERE', 'T2.temporary_acting', '=', ""'Yes"", ""'""]","['select', 'distinct', 't1', '.', 'age', 'from', 'management', 'as', 't2', 'join', 'head', 'as', 't1', 'on', 't1', '.', 'head_id', '=', 't2', '.', 'head_id', 'where', 't2', '.', 'temporary_acting', '=', 'value']",What are the distinct ages of the heads who are acting?,"['What', 'are', 'the', 'distinct', 'ages', 'of', 'the', 'heads', 'who', 'are', 'acting', '?']",,"[[False, 2, [0, [0, 7, False], None], [0, 12, False], None]]","[['table_unit', 2], ['table_unit', 1]]",[],[],,,[],"[True, [[0, [0, [0, 10, False], None]]]]",,"[[False, 2, [0, [0, 13, False], None], '""Yes""', None]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
department_management,SELECT T3.born_state FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T1.name  =  'Treasury' INTERSECT SELECT T3.born_state FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T1.name  =  'Homeland Security',"['SELECT', 'T3.born_state', 'FROM', 'department', 'AS', 'T1', 'JOIN', 'management', 'AS', 'T2', 'ON', 'T1.department_id', '=', 'T2.department_id', 'JOIN', 'head', 'AS', 'T3', 'ON', 'T2.head_id', '=', 'T3.head_id', 'WHERE', 'T1.name', '=', ""'Treasury"", ""'"", 'INTERSECT', 'SELECT', 'T3.born_state', 'FROM', 'department', 'AS', 'T1', 'JOIN', 'management', 'AS', 'T2', 'ON', 'T1.department_id', '=', 'T2.department_id', 'JOIN', 'head', 'AS', 'T3', 'ON', 'T2.head_id', '=', 'T3.head_id', 'WHERE', 'T1.name', '=', ""'Homeland"", 'Security', ""'""]","['select', 't3', '.', 'born_state', 'from', 'department', 'as', 't1', 'join', 'management', 'as', 't2', 'on', 't1', '.', 'department_id', '=', 't2', '.', 'department_id', 'join', 'head', 'as', 't3', 'on', 't2', '.', 'head_id', '=', 't3', '.', 'head_id', 'where', 't1', '.', 'name', '=', 'value', 'intersect', 'select', 't3', '.', 'born_state', 'from', 'department', 'as', 't1', 'join', 'management', 'as', 't2', 'on', 't1', '.', 'department_id', '=', 't2', '.', 'department_id', 'join', 'head', 'as', 't3', 'on', 't2', '.', 'head_id', '=', 't3', '.', 'head_id', 'where', 't1', '.', 'name', '=', 'value']",List the states where both the secretary of 'Treasury' department and the secretary of 'Homeland Security' were born.,"['List', 'the', 'states', 'where', 'both', 'the', 'secretary', 'of', ""'Treasury"", ""'"", 'department', 'and', 'the', 'secretary', 'of', ""'Homeland"", 'Security', ""'"", 'were', 'born', '.']",,"[[False, 2, [0, [0, 1, False], None], [0, 11, False], None]]","[['table_unit', 0], ['table_unit', 2]]",[],[],,,[],"[False, [[0, [0, [0, 9, False], None]]]]",,"[[False, 2, [0, [0, 2, False], None], '""Treasury""', None]]",,"[[False, 2, [0, [0, 1, False], None], [0, 11, False], None]]","[['table_unit', 0], ['table_unit', 2]]",[],[],,,[],"[False, [[0, [0, [0, 9, False], None]]]]",,"[[False, 2, [0, [0, 2, False], None], '""Homeland Security""', None]]",,,,,,,,,,,,,,,,,,,,,,
department_management,"SELECT T1.department_id ,  T1.name ,  count(*) FROM management AS T2 JOIN department AS T1 ON T1.department_id  =  T2.department_id GROUP BY T1.department_id HAVING count(*)  >  1","['SELECT', 'T1.department_id', ',', 'T1.name', ',', 'count', '(', '*', ')', 'FROM', 'management', 'AS', 'T2', 'JOIN', 'department', 'AS', 'T1', 'ON', 'T1.department_id', '=', 'T2.department_id', 'GROUP', 'BY', 'T1.department_id', 'HAVING', 'count', '(', '*', ')', '>', '1']","['select', 't1', '.', 'department_id', ',', 't1', '.', 'name', ',', 'count', '(', '*', ')', 'from', 'management', 'as', 't2', 'join', 'department', 'as', 't1', 'on', 't1', '.', 'department_id', '=', 't2', '.', 'department_id', 'group', 'by', 't1', '.', 'department_id', 'having', 'count', '(', '*', ')', '>', 'value']","Which department has more than 1 head at a time? List the id, name and the number of heads.","['Which', 'department', 'has', 'more', 'than', '1', 'head', 'at', 'a', 'time', '?', 'List', 'the', 'id', ',', 'name', 'and', 'the', 'number', 'of', 'heads', '.']",,"[[False, 2, [0, [0, 1, False], None], [0, 11, False], None]]","[['table_unit', 2], ['table_unit', 0]]","[[0, 1, False]]","[[False, 3, [0, [3, 0, False], None], 1.0, None]]",,,[],"[False, [[0, [0, [0, 1, False], None]], [0, [0, [0, 2, False], None]], [3, [0, [0, 0, False], None]]]]",,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
department_management,"SELECT head_id ,  name FROM head WHERE name LIKE '%Ha%'","['SELECT', 'head_id', ',', 'name', 'FROM', 'head', 'WHERE', 'name', 'LIKE', ""'"", '%', 'Ha', '%', ""'""]","['select', 'head_id', ',', 'name', 'from', 'head', 'where', 'name', 'like', 'value']",Which head's name has the substring 'Ha'? List the id and name.,"['Which', 'head', ""'s"", 'name', 'has', 'the', 'substring', ""'Ha"", ""'"", '?', 'List', 'the', 'id', 'and', 'name', '.']",,[],"[['table_unit', 1]]",[],[],,,[],"[False, [[0, [0, [0, 7, False], None]], [0, [0, [0, 8, False], None]]]]",,"[[False, 9, [0, [0, 8, False], None], '""%Ha%""', None]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farm,SELECT count(*) FROM farm,"['SELECT', 'count', '(', '*', ')', 'FROM', 'farm']","['select', 'count', '(', '*', ')', 'from', 'farm']",How many farms are there?,"['How', 'many', 'farms', 'are', 'there', '?']",,[],"[['table_unit', 1]]",[],[],,,[],"[False, [[3, [0, [0, 0, False], None]]]]",,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farm,SELECT count(*) FROM farm,"['SELECT', 'count', '(', '*', ')', 'FROM', 'farm']","['select', 'count', '(', '*', ')', 'from', 'farm']",Count the number of farms.,"['Count', 'the', 'number', 'of', 'farms', '.']",,[],"[['table_unit', 1]]",[],[],,,[],"[False, [[3, [0, [0, 0, False], None]]]]",,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farm,SELECT Total_Horses FROM farm ORDER BY Total_Horses ASC,"['SELECT', 'Total_Horses', 'FROM', 'farm', 'ORDER', 'BY', 'Total_Horses', 'ASC']","['select', 'total_horses', 'from', 'farm', 'order', 'by', 'total_horses', 'asc']",List the total number of horses on farms in ascending order.,"['List', 'the', 'total', 'number', 'of', 'horses', 'on', 'farms', 'in', 'ascending', 'order', '.']",,[],"[['table_unit', 1]]",[],[],,,"['asc', [[0, [0, 9, False], None]]]","[False, [[0, [0, [0, 9, False], None]]]]",,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farm,SELECT Total_Horses FROM farm ORDER BY Total_Horses ASC,"['SELECT', 'Total_Horses', 'FROM', 'farm', 'ORDER', 'BY', 'Total_Horses', 'ASC']","['select', 'total_horses', 'from', 'farm', 'order', 'by', 'total_horses', 'asc']","What is the total horses record for each farm, sorted ascending?","['What', 'is', 'the', 'total', 'horses', 'record', 'for', 'each', 'farm', ',', 'sorted', 'ascending', '?']",,[],"[['table_unit', 1]]",[],[],,,"['asc', [[0, [0, 9, False], None]]]","[False, [[0, [0, [0, 9, False], None]]]]",,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farm,SELECT Hosts FROM farm_competition WHERE Theme !=  'Aliens',"['SELECT', 'Hosts', 'FROM', 'farm_competition', 'WHERE', 'Theme', '!', '=', ""'Aliens"", ""'""]","['select', 'hosts', 'from', 'farm_competition', 'where', 'theme', '!', '=', 'value']","What are the hosts of competitions whose theme is not ""Aliens""?","['What', 'are', 'the', 'hosts', 'of', 'competitions', 'whose', 'theme', 'is', 'not', '``', 'Aliens', ""''"", '?']",,[],"[['table_unit', 2]]",[],[],,,[],"[False, [[0, [0, [0, 21, False], None]]]]",,"[[False, 7, [0, [0, 19, False], None], '""Aliens""', None]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farm,SELECT Hosts FROM farm_competition WHERE Theme !=  'Aliens',"['SELECT', 'Hosts', 'FROM', 'farm_competition', 'WHERE', 'Theme', '!', '=', ""'Aliens"", ""'""]","['select', 'hosts', 'from', 'farm_competition', 'where', 'theme', '!', '=', 'value']",Return the hosts of competitions for which the theme is not Aliens?,"['Return', 'the', 'hosts', 'of', 'competitions', 'for', 'which', 'the', 'theme', 'is', 'not', 'Aliens', '?']",,[],"[['table_unit', 2]]",[],[],,,[],"[False, [[0, [0, [0, 21, False], None]]]]",,"[[False, 7, [0, [0, 19, False], None], '""Aliens""', None]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farm,SELECT Theme FROM farm_competition ORDER BY YEAR ASC,"['SELECT', 'Theme', 'FROM', 'farm_competition', 'ORDER', 'BY', 'YEAR', 'ASC']","['select', 'theme', 'from', 'farm_competition', 'order', 'by', 'year', 'asc']",What are the themes of farm competitions sorted by year in ascending order?,"['What', 'are', 'the', 'themes', 'of', 'farm', 'competitions', 'sorted', 'by', 'year', 'in', 'ascending', 'order', '?']",,[],"[['table_unit', 2]]",[],[],,,"['asc', [[0, [0, 18, False], None]]]","[False, [[0, [0, [0, 19, False], None]]]]",,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farm,SELECT Theme FROM farm_competition ORDER BY YEAR ASC,"['SELECT', 'Theme', 'FROM', 'farm_competition', 'ORDER', 'BY', 'YEAR', 'ASC']","['select', 'theme', 'from', 'farm_competition', 'order', 'by', 'year', 'asc']","Return the themes of farm competitions, sorted by year ascending.","['Return', 'the', 'themes', 'of', 'farm', 'competitions', ',', 'sorted', 'by', 'year', 'ascending', '.']",,[],"[['table_unit', 2]]",[],[],,,"['asc', [[0, [0, 18, False], None]]]","[False, [[0, [0, [0, 19, False], None]]]]",,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farm,SELECT avg(Working_Horses) FROM farm WHERE Total_Horses  >  5000,"['SELECT', 'avg', '(', 'Working_Horses', ')', 'FROM', 'farm', 'WHERE', 'Total_Horses', '>', '5000']","['select', 'avg', '(', 'working_horses', ')', 'from', 'farm', 'where', 'total_horses', '>', 'value']",What is the average number of working horses of farms with more than 5000 total number of horses?,"['What', 'is', 'the', 'average', 'number', 'of', 'working', 'horses', 'of', 'farms', 'with', 'more', 'than', '5000', 'total', 'number', 'of', 'horses', '?']",,[],"[['table_unit', 1]]",[],[],,,[],"[False, [[5, [0, [0, 10, False], None]]]]",,"[[False, 3, [0, [0, 9, False], None], 5000.0, None]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farm,SELECT avg(Working_Horses) FROM farm WHERE Total_Horses  >  5000,"['SELECT', 'avg', '(', 'Working_Horses', ')', 'FROM', 'farm', 'WHERE', 'Total_Horses', '>', '5000']","['select', 'avg', '(', 'working_horses', ')', 'from', 'farm', 'where', 'total_horses', '>', 'value']",Give the average number of working horses on farms with more than 5000 total horses.,"['Give', 'the', 'average', 'number', 'of', 'working', 'horses', 'on', 'farms', 'with', 'more', 'than', '5000', 'total', 'horses', '.']",,[],"[['table_unit', 1]]",[],[],,,[],"[False, [[5, [0, [0, 10, False], None]]]]",,"[[False, 3, [0, [0, 9, False], None], 5000.0, None]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farm,"SELECT max(Cows) ,  min(Cows) FROM farm","['SELECT', 'max', '(', 'Cows', ')', ',', 'min', '(', 'Cows', ')', 'FROM', 'farm']","['select', 'max', '(', 'cows', ')', ',', 'min', '(', 'cows', ')', 'from', 'farm']",What are the maximum and minimum number of cows across all farms.,"['What', 'are', 'the', 'maximum', 'and', 'minimum', 'number', 'of', 'cows', 'across', 'all', 'farms', '.']",,[],"[['table_unit', 1]]",[],[],,,[],"[False, [[1, [0, [0, 14, False], None]], [2, [0, [0, 14, False], None]]]]",,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farm,"SELECT max(Cows) ,  min(Cows) FROM farm","['SELECT', 'max', '(', 'Cows', ')', ',', 'min', '(', 'Cows', ')', 'FROM', 'farm']","['select', 'max', '(', 'cows', ')', ',', 'min', '(', 'cows', ')', 'from', 'farm']",Return the maximum and minimum number of cows across all farms.,"['Return', 'the', 'maximum', 'and', 'minimum', 'number', 'of', 'cows', 'across', 'all', 'farms', '.']",,[],"[['table_unit', 1]]",[],[],,,[],"[False, [[1, [0, [0, 14, False], None]], [2, [0, [0, 14, False], None]]]]",,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farm,SELECT count(DISTINCT Status) FROM city,"['SELECT', 'count', '(', 'DISTINCT', 'Status', ')', 'FROM', 'city']","['select', 'count', '(', 'distinct', 'status', ')', 'from', 'city']",How many different statuses do cities have?,"['How', 'many', 'different', 'statuses', 'do', 'cities', 'have', '?']",,[],"[['table_unit', 0]]",[],[],,,[],"[False, [[3, [0, [0, 3, True], None]]]]",,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farm,SELECT count(DISTINCT Status) FROM city,"['SELECT', 'count', '(', 'DISTINCT', 'Status', ')', 'FROM', 'city']","['select', 'count', '(', 'distinct', 'status', ')', 'from', 'city']",Count the number of different statuses.,"['Count', 'the', 'number', 'of', 'different', 'statuses', '.']",,[],"[['table_unit', 0]]",[],[],,,[],"[False, [[3, [0, [0, 3, True], None]]]]",,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farm,SELECT Official_Name FROM city ORDER BY Population DESC,"['SELECT', 'Official_Name', 'FROM', 'city', 'ORDER', 'BY', 'Population', 'DESC']","['select', 'official_name', 'from', 'city', 'order', 'by', 'population', 'desc']",List official names of cities in descending order of population.,"['List', 'official', 'names', 'of', 'cities', 'in', 'descending', 'order', 'of', 'population', '.']",,[],"[['table_unit', 0]]",[],[],,,"['desc', [[0, [0, 5, False], None]]]","[False, [[0, [0, [0, 2, False], None]]]]",,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farm,SELECT Official_Name FROM city ORDER BY Population DESC,"['SELECT', 'Official_Name', 'FROM', 'city', 'ORDER', 'BY', 'Population', 'DESC']","['select', 'official_name', 'from', 'city', 'order', 'by', 'population', 'desc']","What are the official names of cities, ordered descending by population?","['What', 'are', 'the', 'official', 'names', 'of', 'cities', ',', 'ordered', 'descending', 'by', 'population', '?']",,[],"[['table_unit', 0]]",[],[],,,"['desc', [[0, [0, 5, False], None]]]","[False, [[0, [0, [0, 2, False], None]]]]",,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farm,"SELECT Official_Name ,  Status FROM city ORDER BY Population DESC LIMIT 1","['SELECT', 'Official_Name', ',', 'Status', 'FROM', 'city', 'ORDER', 'BY', 'Population', 'DESC', 'LIMIT', '1']","['select', 'official_name', ',', 'status', 'from', 'city', 'order', 'by', 'population', 'desc', 'limit', 'value']",List the official name and status of the city with the largest population.,"['List', 'the', 'official', 'name', 'and', 'status', 'of', 'the', 'city', 'with', 'the', 'largest', 'population', '.']",,[],"[['table_unit', 0]]",[],[],,1.0,"['desc', [[0, [0, 5, False], None]]]","[False, [[0, [0, [0, 2, False], None]], [0, [0, [0, 3, False], None]]]]",,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farm,"SELECT Official_Name ,  Status FROM city ORDER BY Population DESC LIMIT 1","['SELECT', 'Official_Name', ',', 'Status', 'FROM', 'city', 'ORDER', 'BY', 'Population', 'DESC', 'LIMIT', '1']","['select', 'official_name', ',', 'status', 'from', 'city', 'order', 'by', 'population', 'desc', 'limit', 'value']",What is the official name and status of the city with the most residents?,"['What', 'is', 'the', 'official', 'name', 'and', 'status', 'of', 'the', 'city', 'with', 'the', 'most', 'residents', '?']",,[],"[['table_unit', 0]]",[],[],,1.0,"['desc', [[0, [0, 5, False], None]]]","[False, [[0, [0, [0, 2, False], None]], [0, [0, [0, 3, False], None]]]]",,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
